fe_id,fname,score
c.w.nlp.uima.fe.token.CharPatternX1xN3FE@542fc2e69fec6c79120131d518b92070,0,1.0
c.w.nlp.uima.fe.token.CharacterPatternFE@3a82d773c5c09099797c61b3e6ff1a94,0,1.0
c.w.n.u.fe.ner.IsTheOnlyNerInFocusElementFE@317b292e3e41b4eea3f48a89658542d6,0,1.0
c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@54c466e369d8cec2661a72c013275712,0,1.0
c.w.nlp.uima.fe.token.CharPatternXxNFE@ab888239d3ca36987ae8b1ac39a11ad9,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@a272df49a06ea8d21fb8915454ad73b0,0,1.0
c.w.n.u.fe.ner.IsTheOnlyNerInFocusElementFE@d1f71d5d193954c8033f0c5f51b32175,0,0.975
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@0976267ee5054116cdc6f0485dd986fe,0,0.975
c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@653e4b1ee05eb879686d9f69c7a88d89,0,0.975
c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@b16c124eec8ae94f6e49f97a783320f0,0,0.975
mle.cert.assignment.fe.IsNerPresentFE@352d59b14b9867030cf831f490e9799a,0,0.975
c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@6199d28f5a81ac39eaef0c72644edd03,0,0.975
c.w.n.uima.fe.token.StringValueInNerTypeFE@57dbabf01a10dda7fda143eecaf7a5c4,0,0.975
c.w.n.uima.fe.token.IsMiddleOfNamedEntityFE@22207a60c4979e474e3cbf6c37a86698,0,0.975
c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@e66466acb07e8e6828e79a6ee64b43e4,0,0.975
c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@15a8c009fcbc1ba0a9b2570188d8da19,0,0.9743589743589743
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@9a8f13c03821ae12496e2a28e2af87b6,0,0.9696969696969697
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@f9ab77e7ee59884f1f3ec93efcd7d988,0,0.9666666666666667
c.w.nlp.uima.fe.token.SpecialCharFE@cc0558e5e7171efa97c67c8e4b9bcd5a,0,0.9333333333333333
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@3024bb135fb2aa4005af345dcf85187d,0,0.9230769230769231
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@2e7b9c138a81c5d003823996f5aea4c2,0,0.9210526315789473
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c4655e7991253521f4b4e1b4d130ed64,0,0.782608695652174
c.w.v.s.nlp.component.fe.PositionInCoveringFE@499fa9a29d8e11c215cdd028bbdc3489,0,0.4482758620689655
c.w.n.u.fe.cell.cellFEs.FirstLineRectangleFE@4d59011a0f66cb145c231af0f6563be3,0,0.375
c.w.n.u.f.c.columnFEs.NerCountPercentageInColumnFE@eb53e7a667b013a23d5d33bac35a54ca,0,0.3333333333333333
c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@d3b135d624fb095bb9de11f12950df69,0,0.3333333333333333
c.w.v.s.n.component.fe.FocusElementKeywordsFE@081ed6b332f5541b9dd6c9ccbe24b8a3,0,0.27611940298507465
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@e874699bc3bff45d40039860dd839c42,0,0.27611940298507465
c.w.n.u.fe.cell.lineFEs.LineNumberInCellFE@70cadf1147133fe645e72d3597d4231d,0,0.23529411764705882
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@5b7215112b2057d65f2dd4f9845e827c,0,0.2
c.w.n.uima.fe.cell.typeFEs.CellContainsNerFE@bde710334641119f404042c1ea4d5ccc,0,0.2
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@f90b547f60153cd0b5d8168cb1e29533,0,0.15859030837004406
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@f210033c7bef00159d8f3f7a318cf4bf,0,0.1111111111111111
c.w.n.u.f.c.cellFEs.NumberOfTokensInCellNotInNerFE@b8930a8fc161e88e6d4d7b7c5faed7ba,0,0.09523809523809523
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@edb497aca9e0312b4c6403ffc6bf79b0,0,0.09090909090909091
c.w.n.u.f.c.b.PreviousBlockSameLineCoveredTokensFE@d5e1e89e63ffe57e2b4b194c98e88ca3,0,0.08333333333333333
c.w.n.u.f.c.rowFEs.CellColNumLessThanLowerRowFE@48cf133eba98f351eb304d5962351e50,0,0.07563025210084033
c.w.n.u.f.c.c.CellColumnNumToFirstPortionFE@bbbbc38275caa7dfcd17cf44c583bbcb,0,0.06382978723404255
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@aa11cd66a21945e4393fa540f1fcfe40,0,0.0626118067978533
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@3086e785bc5cd8cfaa321a19d973f21e,0,0.0625
c.w.v.s.n.component.fe.FocusElementKeywordsFE@639a3382d1b9a7bea97b1812ff1361a8,0,0.0625
c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@fb1e5e048c905d383416ebfe1e04a721,0,0.05825242718446602
c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@bb7650127b4fa93a2dc2b200fa3b8a54,0,0.04634581105169341
c.w.n.uima.fe.cell.cellFEs.LineCountInCellFE@55e0c75e38d8e6c72547c0d82ca792da,0,0.046153846153846156
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@4ad77ca20f51651f159395708c9af657,0,0.045454545454545456
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@e94abbf6c054799ae40d15d03f0610e9,0,0.045454545454545456
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@c853a99a13658a2a1566bd28bd72be47,0,0.044444444444444446
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@3e2a761fa80656dca9c91428846d2907,0,0.03152492668621701
c.w.n.u.fe.cell.columnFEs.CellColumnKeywordFE@bfb77ef1282fa9e87ad8009f929e5dcc,0,0.03076923076923077
c.w.nlp.uima.fe.token.CharPatternX1x1NFE@63cb70a5a2e7423b549288d59360c1de,0,0.028089887640449437
c.w.nlp.uima.fe.token.CharPatternX1x2N3FE@b7044598d627055bb427a708781681f5,0,0.028089887640449437
c.w.nlp.uima.fe.token.WordShapeFE@1eed3a93a19e651d140338deb3856c45,0,0.028089887640449437
c.w.nlp.uima.fe.token.CharPatternXx2N3FE@672b5803fe472ca8ad8cb92c597cf558,0,0.028089887640449437
c.w.nlp.uima.fe.cell.lineFEs.LineSizeFE@0d36ab26f4e5c919a4afe8dbb720d538,0,0.027777777777777776
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@d1c0a0ab76327bc3b49bf7efe0bd9730,0,0.024193548387096774
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@25882c2032459603df092df5fc87d943,0,0.023529411764705882
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@b7ebe526f5e790136fa9d42da7cf0e03,0,0.022727272727272728
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@275ef5e7614ba9e71bd1cfa53bb874a6,0,0.022727272727272728
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@cadd0f476f84667f814c4c5143d4f2a9,0,0.02127659574468085
c.w.n.u.f.cell.rowFEs.CellRowEmptyColumnCountFE@6890dd9d8e885bb5d5211ec548d0362c,0,0.02054794520547945
c.w.n.u.f.c.tableFEs.CellTotalColumnsInTableFE@7d601563a9e3d7724d4772957e230b9e,0,0.019390581717451522
c.w.n.u.f.cell.tokenFEs.IsLastElementInFocusFE@3c340eaea9b7a81bcf1bcc197f58c836,0,0.01667245571378951
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@2b0c5fd63cab02ea552557201a14359e,0,0.015957446808510637
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@e507d2f6d87ecf20525d6b7316f3876b,0,0.015151515151515152
c.w.nlp.uima.fe.cell.rowFEs.CellRowNumFE@0f5920b557709d662db2da3ba907a785,0,0.01263537906137184
c.w.n.u.f.c.c.CellX1x1N1PatternDifferentThanOtherCellsInSameColumnFE@8b3957c1c3390561457530e70c652426,0,0.012276545337066552
